Dark spectrum
Integration time [ms]:  25,000
Averaging Nr. [scans]: 15
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804344U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
399,748;   -1,694;   -1,694;    0,000
399,913;   -0,832;   -0,832;    0,000
400,077;   -5,577;   -5,577;    0,000
400,242;   -7,539;   -7,539;    0,000
400,407;   14,218;   14,218;    0,000
400,572;    7,444;    7,444;    0,000
400,736;  -10,007;  -10,007;    0,000
400,901;    4,238;    4,238;    0,000
401,066;    1,077;    1,077;    0,000
401,230;   -2,268;   -2,268;    0,000
401,395;   19,152;   19,152;    0,000
401,559;   17,905;   17,905;    0,000
401,724;   19,920;   19,920;    0,000
401,889;    0,789;    0,789;    0,000
402,053;  -19,536;  -19,536;    0,000
402,218;   31,775;   31,775;    0,000
402,383;   13,328;   13,328;    0,000
402,547;   -1,896;   -1,896;    0,000
402,712;    9,744;    9,744;    0,000
402,876;   -0,526;   -0,526;    0,000
403,041;   19,501;   19,501;    0,000
403,206;    5,305;    5,305;    0,000
403,370;   -3,842;   -3,842;    0,000
403,535;    1,265;    1,265;    0,000
403,699;  -10,768;  -10,768;    0,000
403,864;   -4,986;   -4,986;    0,000
404,028;    9,060;    9,060;    0,000
404,193;   30,594;   30,594;    0,000
404,357;   22,583;   22,583;    0,000
404,522;   -1,677;   -1,677;    0,000
404,686;  -10,245;  -10,245;    0,000
404,851;   -9,212;   -9,212;    0,000
405,015;   -6,597;   -6,597;    0,000
405,180;    6,163;    6,163;    0,000
405,344;  -11,061;  -11,061;    0,000
405,509;   -7,162;   -7,162;    0,000
405,673;   12,385;   12,385;    0,000
405,838;    1,022;    1,022;    0,000
406,002;  -16,212;  -16,212;    0,000
406,167;  -13,728;  -13,728;    0,000
406,331;   20,141;   20,141;    0,000
406,496;    7,978;    7,978;    0,000
406,660;    6,505;    6,505;    0,000
406,825;    9,509;    9,509;    0,000
